PAGINA,MODELO,PRECIO,
244,"200-04 (S,M,L,XL) ROJO/IVORY",     21.99 ,
245,"966-06 (S,M,L,XL) AMARILLO/BLANCO",     21.99 ,
245,"812-13 (S,M,L,XL) MULTICOLOR",     17.99 ,
246,"966-04 (S,M,L,XL) VERDE/FIUSHA",     18.99 ,
246,"210-35 (5,7,9,11,13) AZUL INDIGO/ORO",     29.99 ,
247,"990-14 (5,7,9,11,13) KAQUI",     27.99 ,
248,"966-09 (S,M,L,XL) VERDE/MARINO",     24.99 ,
248,"990-14 (5,7,9,11,13) KAQUI",     27.99 ,
249,"200-05 (S,M,L,XL) NEGRO/IVORY",     19.99 ,
249,"179-48 (S,M,L,XL) ROJO/NEGRO",     27.99 ,
250,825-16 (S/M Y L/XL) TRIO MULTICOLOR,     13.99 ,
250,"936-21 (S,M,L,XL) NEGRO/GRIS",     25.99 ,
251,"125-82 (S,M,L,XL) CORAL",     14.99 ,
252,"125-82 (S,M,L,XL) CORAL",     14.99 ,
252,"936-20 (S,M,L,XL) IVORY/MULTICOLOR",     23.99 ,
253,"966-07 (S,M,L,XL) NARANJA/UVA",     15.99 ,
